symbol,date,price,setup,score,atr_pct,pct_of_100d_high,entry,stop,risk_per_share,atr14,pivot,shares_for_plan,position_value,capital,risk_pct,ema20,ema50,sma200,prior_52w_high,vol_x_avg20,neckline,left_shoulder,head,right_shoulder
APTV,2025-10-08,84.45999908447266,vcp,74.217,0.02017862735341989,0.959990859989169,88.89,83.16,5.73,1.7,88.8,21,1866.66,25000.0,0.005,,,,,,,,,
BLK,2025-10-08,1165.0,vcp,74.067,0.01890375171242719,0.9878992772690667,1185.31,1118.0,67.31,22.02,1184.13,1,1185.31,25000.0,0.005,,,,,,,,,
AFL,2025-10-08,111.9000015258789,vcp,74.013,0.01387079522649839,0.9896524438657192,114.01,108.62,5.39,1.55,113.9,23,2622.32,25000.0,0.005,,,,,,,,,
TDY,2025-10-08,588.010009765625,vcp,73.909,0.01570187188493936,0.9905495343861269,596.59,559.32,37.27,9.23,595.99,3,1789.76,25000.0,0.005,,,,,,,,,
MMM,2025-10-08,156.0,vcp,73.025,0.018667591360462452,0.9737827900858255,160.55,151.82,8.73,2.91,160.39,14,2247.71,25000.0,0.005,,,,,,,,,
PFG,2025-10-08,81.7699966430664,vcp,72.856,0.018946874798523607,0.9704485469969695,85.23,81.07,4.16,1.55,85.14,30,2556.75,25000.0,0.005,,,,,,,,,
MSFT,2025-10-08,524.8499755859375,vcp,72.792,0.014849130961471006,0.9798558009718861,531.56,505.04,26.52,7.79,531.03,4,2126.24,25000.0,0.005,,,,,,,,,
WMT,2025-10-08,102.9000015258789,vcp,72.625,0.014792440381229071,0.9868610802599599,104.04,99.87,4.17,1.52,103.94,29,3017.27,25000.0,0.005,,,,,,,,,
PKG,2025-10-08,213.27999877929688,vcp,71.893,0.016075452635541488,0.9683541374769438,218.78,209.48,9.3,3.43,218.56,13,2844.12,25000.0,0.005,,,,,,,,,
MS,2025-10-08,155.64999389648438,vcp,71.624,0.02110962624249094,0.9658103149638952,162.39,153.71,8.68,3.29,162.23,14,2273.49,25000.0,0.005,,,,,,,,,
CRL,2025-10-08,173.47000122070312,vcp,71.37,0.035708090667834806,0.9691602653608961,181.63,144.26,37.37,6.19,181.45,3,544.89,25000.0,0.005,,,,,,,,,
FRT,2025-10-08,97.55000305175781,vcp,71.368,0.012909139606552746,0.9501315359063077,101.54,96.79,4.75,1.26,101.44,26,2640.08,25000.0,0.005,,,,,,,,,
